scenario,description,parameter,assumed_value,source_status,metric,expected,tolerance_pct,equivalence_margin
scenario-01-baseline,Baseline published configuration,baseline,advanced_default,source-required,throughput_per_day,,10,3
scenario-01-baseline,Baseline published configuration,baseline,advanced_default,source-required,mean_wait_minutes,,10,5
scenario-02-extra-mri,One additional MRI scanner,mri_machines,5,source-required,throughput_per_day,,10,3
scenario-02-extra-mri,One additional MRI scanner,mri_machines,5,source-required,mean_wait_minutes,,10,5
scenario-03-extra-radiographer,Two radiographers during operating hours,radiographer_capacity,"0-480:2",source-required,throughput_per_day,,10,3
scenario-04-extra-radiologist,Two radiologists during operating hours,radiologist_capacity,"0-480:2",source-required,mean_wait_minutes,,10,5
scenario-05-extended-hours,Twelve-hour outpatient operating day,operating_hours,12,source-required,throughput_per_day,,10,3
scenario-06-reduced-demand,Twenty percent demand reduction,daily_demand,56,source-required,mean_wait_minutes,,10,5
scenario-07-increased-demand,Twenty percent demand increase,daily_demand,84,source-required,mean_wait_minutes,,10,5
scenario-08-low-no-show,Four percent outpatient no-show rate,no_show_rate,0.04,source-required,throughput_per_day,,10,3
scenario-09-overbooking,Ten percent controlled overbooking,overbooking_rate,0.10,source-required,throughput_per_day,,10,3
scenario-10-staggered-staff,Staggered staff profile,capacity_windows,to-be-transcribed,source-required,mean_wait_minutes,,10,5
scenario-11-resilient-mri,Five-machine resilient configuration,mri_machines,5,source-required,mri_downtime_minutes,,10,30
