scenario,metric,expected,tolerance_pct
scenario-01-baseline,throughput_per_day,,10
scenario-01-baseline,mean_wait_minutes,,10
scenario-02-extra-mri,throughput_per_day,,10
scenario-02-extra-mri,mean_wait_minutes,,10
scenario-03-extra-radiographer,throughput_per_day,,10
scenario-03-extra-radiographer,mean_wait_minutes,,10
scenario-04-extra-radiologist,throughput_per_day,,10
scenario-04-extra-radiologist,mean_wait_minutes,,10
scenario-05-extended-hours,throughput_per_day,,10
scenario-05-extended-hours,mean_wait_minutes,,10
scenario-06-reduced-demand,throughput_per_day,,10
scenario-06-reduced-demand,mean_wait_minutes,,10
scenario-07-increased-demand,throughput_per_day,,10
scenario-07-increased-demand,mean_wait_minutes,,10
scenario-08-low-no-show,throughput_per_day,,10
scenario-08-low-no-show,mean_wait_minutes,,10
scenario-09-overbooking,throughput_per_day,,10
scenario-09-overbooking,mean_wait_minutes,,10
scenario-10-staggered-staff,throughput_per_day,,10
scenario-10-staggered-staff,mean_wait_minutes,,10
scenario-11-resilient-mri,throughput_per_day,,10
scenario-11-resilient-mri,mean_wait_minutes,,10
