parameter,model_component,value,unit,distribution,source,source_date,sample_size,fitting_or_transformation,goodness_of_fit,fallback_assumption,owner_or_reviewer
reception_mean,reception,,,,,,,,,,
preparation_low,preparation,,,,,,,,,,
preparation_mode,preparation,,,,,,,,,,
preparation_high,preparation,,,,,,,,,,
scan_mean,MRI,,,,,,,,,,
scan_sd_outpatient,MRI,,,,,,,,,,
scan_sd_inpatient,MRI,,,,,,,,,,
scan_sd_emergency,MRI,,,,,,,,,,
report_low,reporting,,,,,,,,,,
report_high,reporting,,,,,,,,,,
no_show_rate,patient_behaviour,,,,,,,,,,
daily_demand,demand,,,,,,,,,,
hourly_arrival_profile,demand,,,,,,,,,,
mri_failure_probability,reliability,,,,,,,,,,
mri_repair_mean_minutes,reliability,,,,,,,,,,
